company,mdate,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix,WorkingCapital_TotalAssets_miss,RetainedEarnings_TotalAssets_miss,CashFlow_TotalDebt_miss,TotalDebt_TotalAssets_miss,CurrentRatio_miss,Merge_Code,產業別,GICS_Category
1525 江申,2016/12,0.05454312604680079,0.5187141058591336,0.02142265661941458,0.174514903655025,0.883865328655507,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2021/06,0.08474923671876836,0.5578363302365374,0.02360630895424995,0.1784490458578348,0.9837953217368851,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2020/12,0.1192972813359155,0.560415076476106,-0.1204325260074066,0.1670373745575023,1.153135543719225,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2017/12,0.03022583327729551,0.5304930644036543,-0.05433671005515101,0.1738359345796796,0.7871881588324838,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2015/12,0.07084750727373566,0.4820775305516389,0.06789206287420745,0.1748830049249014,0.9423397826237256,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2014/12,0.06149480555696904,0.4647969742132823,0.1212679164967414,0.1712456439191842,0.9261622581310026,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2024/06,0.2482204082264713,0.5553664512687131,-0.04713259186362832,0.1706627428098244,1.401480117234725,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2023/06,0.2048283578736793,0.5685502145494883,0.04404926249760287,0.1707569309655443,1.305678285683171,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2024/12,0.2848829039997893,0.5740683312404371,0.02230752397489143,0.1378919886081539,1.643177148557124,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2023/12,0.2847465044480442,0.5754501688302949,0.1042727587712506,0.155467018844048,1.665826432051597,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2018/06,0.001454137242075571,0.5156798307897811,-0.09303943131625456,0.1850786208028383,0.6974736348539362,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2019/06,0.08262781336382816,0.5326933864770771,-0.1109997218739746,0.1795520111284206,0.9525314590414757,15,0,0,0,0,0,1525,汽車工業,5
1526 日馳,2022/12,0.2809883737773006,0.2401918011771098,0.1681030059993565,0.41035660666504,1.04347250321203,15,0,0,0,0,0,1526,電機機械,8
1526 日馳,2020/12,0.2641766566536016,0.2406097733256917,0.4836232753873094,0.3270787183372325,1.043401245961677,15,0,0,0,0,0,1526,電機機械,8
1526 日馳,2021/06,0.3238068606171316,0.2448080735346446,-0.1371139884595665,0.3689706725645181,1.135043954076742,15,0,0,0,0,0,1526,電機機械,8
1526 日馳,2020/06,0.2955123356467012,0.2260326134506021,0.213656393849544,0.3169612713728295,1.139325410561187,15,0,0,0,0,0,1526,電機機械,8
1526 日馳,2016/12,0.2642122488432386,0.1133671679020291,0.1335036173462442,0.4269138595182393,1.050871577513547,15,0,0,0,0,0,1526,電機機械,8
1526 日馳,2015/12,0.2535051077635582,0.07379820531875599,-0.02350070125806172,0.4312650093184495,1.03302525442415,15,0,0,0,0,0,1526,電機機械,8
1526 日馳,2018/06,0.2316222931981107,0.1350925996533424,0.03330085614874301,0.4677108845980456,0.9486205655099342,15,0,0,0,0,0,1526,電機機械,8
1526 日馳,2016/06,0.2545614794213792,0.09203835396730146,0.03810844379049618,0.4268007724605934,1.049375566895954,15,0,0,0,0,0,1526,電機機械,8
1526 日馳,2019/06,0.2656573287572618,0.1820938394214839,0.1206583631221987,0.3509686699424084,1.067397386270473,15,0,0,0,0,0,1526,電機機械,8
1526 日馳,2014/06,0.2820600003189476,0.00785772651582748,0.09213288291326642,0.392415835571984,1.229109724064813,15,0,0,0,0,0,1526,電機機械,8
1526 日馳,2024/06,0.3899893456052468,0.2367498557332031,0.02120151704050515,0.3818536492625976,1.589710069070953,15,0,0,0,0,0,1526,電機機械,8
1526 日馳,2021/12,0.2842585376336709,0.2092378132347547,-0.07336614474541879,0.4346972144559593,1.005723757681,15,0,0,0,0,0,1526,電機機械,8
1526 日馳,2018/12,0.3111536802825293,0.183784161909848,0.05639306499572178,0.3592085704589916,1.172001275673989,15,0,0,0,0,0,1526,電機機械,8
1526 日馳,2017/12,0.2143800883128174,0.1155221946815667,0.1400528451941646,0.5000262092172288,0.9010848210695079,15,0,0,0,0,0,1526,電機機械,8
1526 日馳,2019/12,0.314997148926372,0.2056544961319649,0.2288703682607957,0.323853132394905,1.246703325421377,15,0,0,0,0,0,1526,電機機械,8
