coid,mdate,tcri,scr,xcdt,company,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix,WorkingCapital_TotalAssets_miss,RetainedEarnings_TotalAssets_miss,CashFlow_TotalDebt_miss,TotalDebt_TotalAssets_miss,CurrentRatio_miss,產業別,GICS_Category
3016,2020-12-01,6,421.0,,3016 嘉晶,0.3143184166283153,0.0239426466313805,0.2298810279358236,0.2790333137894905,1.385588874527066,30,0,0,0,0,0,半導體業,1
3016,2021-12-01,6,577.0,,3016 嘉晶,0.3422561359486693,0.066292001199598,0.2968650878715888,0.2646176451347622,1.325255505871117,30,0,0,0,0,0,半導體業,1
3016,2022-12-01,6,669.0,,3016 嘉晶,0.3943455446981192,0.0997381935212965,0.3987260683460077,0.2690429315510099,1.515795869650123,30,0,0,0,0,0,半導體業,1
3016,2023-12-01,6,474.0,,3016 嘉晶,0.3913184111262032,0.0569179672033124,0.2539914481006688,0.2477066778626874,1.634138818821993,30,0,0,0,0,0,半導體業,1
3018,2014-12-01,7,460.0,,3018 隆銘綠能,0.4180530465557627,0.0458531678619653,0.0198979128866179,0.3979415397956795,1.317765471157795,30,0,0,0,0,0,其他電子業,1
3018,2015-12-01,7,213.0,,3018 隆銘綠能,0.3423945510384744,-0.0152503004132329,-0.365373865434258,0.455978991017989,1.090613493360529,30,0,0,0,0,0,其他電子業,1
3018,2016-12-01,7,245.0,,3018 隆銘綠能,0.280022594684973,0.0090529444408182,-0.0913124801649554,0.4621285174446583,0.9519860952082492,30,0,0,0,0,0,其他電子業,1
3018,2017-12-01,7,311.0,,3018 隆銘綠能,0.3421389990108378,0.0351953601925227,0.1993335320356901,0.3839599487961963,1.121139243139651,30,0,0,0,0,0,其他電子業,1
3018,2018-12-01,7,196.0,,3018 隆銘綠能,0.2242916736246306,-0.0740239945241986,-0.1371146087332693,0.4254506647998155,0.92119972931988,30,0,0,0,0,0,其他電子業,1
3018,2019-12-01,8,147.0,,3018 隆銘綠能,0.0960530299065798,-0.1285019530399167,0.1550598932990658,0.4737471650517703,0.777242971822472,30,0,0,0,0,0,其他電子業,1
3018,2020-12-01,8,300.0,,3018 隆銘綠能,0.0733734675527455,-0.1117775628039248,0.1293429204035308,0.5301921487926096,0.7551677197162057,30,0,0,0,0,0,其他電子業,1
3018,2021-12-01,D,-130.0,,3018 隆銘綠能,0.1592121149770489,-0.2864075839012963,-0.1324712281203872,0.6001489325386666,0.8396956214074527,30,0,0,0,0,0,其他電子業,1
3018,2022-12-01,C,-430.0,,3018 隆銘綠能,-0.1360923542468653,-0.5216547517813611,-0.1650143939888913,0.6284133329351829,0.600845142853888,30,0,0,0,0,0,其他電子業,1
3018,2023-12-01,9,-723.0,,3018 隆銘綠能,0.0513602996334678,-0.3103631727734831,-0.2437601123126845,0.626201962978763,0.7317429276004936,30,0,0,0,0,0,其他電子業,1
